Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-nmdp.fhir.matchsync.json	30417	-	0	0	0	0	0	0	3	165	0	0	0	0	0	0	0	1	0	0	81	155	0	0	0	3	0	0
fsh-generated/resources/Bundle-BundleExample-Practitioner.json	8939	7	0	0	0	4	80	0	0	231	0	0	0	0	0	0	0	0	0	0	22	150	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-glstring-codesystem.json	474	2	0	0	26	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	13	10598	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-hla-genename-codesystem.json	6925	2	0	0	0	0	0	0	1	11	0	0	0	0	0	0	0	0	0	0	24	81	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-nmdp-abo-group-cs.json	744	2	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	13	57	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-nmdp-disease-cs.json	8203	2	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	25	90	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-nmdp-diseasestage-cs.json	1020	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	13	63	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-nmdp-ethnicity-cs.json	677	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	13	60	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-nmdp-language-cs.json	1328	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	15	56	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-nmdp-practitioner-role-cs.json	767	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	15	54	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-nmdp-preferred-product-cs.json	845	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	14	55	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-nmdp-race-cs.json	4064	2	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	21	58	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-nmdp-rh-status-cs.json	769	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	14	54	0	0	0	0	0	0
