Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-nmdp.fhir.matchsync.json	34861	-	0	0	0	0	0	0	5	752	0	0	0	0	0	0	0	1	0	0	111	172	0	0	0	4	0	0
fsh-generated/resources/Bundle-BundleExample-Practitioner.json	8939	8	0	0	0	10	62	0	1	447	0	0	0	0	0	0	0	0	0	0	26	216	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-glstring-codesystem.json	474	5	0	0	1	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	21	11778	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-hla-genename-codesystem.json	6925	5	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	34	162	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-nmdp-abo-group-cs.json	744	5	1	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	32	143	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-nmdp-abo-rh-group-cs.json	1008	6	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	30	89	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-nmdp-cmv-cs.json	742	4	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	26	55	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-nmdp-disease-cs.json	8203	5	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	40	94	0	0	0	1	0	1
fsh-generated/resources/CodeSystem-nmdp-diseasestage-cs.json	1020	5	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	31	73	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-nmdp-ethnicity-cs.json	677	5	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	24	55	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-nmdp-form117-cs.json	574	4	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	25	53	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-nmdp-language-cs.json	1328	5	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	21	54	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-nmdp-practitioner-role-cs.json	767	5	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	28	55	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-nmdp-preferred-product-cs.json	845	5	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	32	51	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-nmdp-race-cs.json	4064	5	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	30	62	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-nmdp-rh-status-cs.json	769	5	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	25	52	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-nmdp-transplant-timeline-cs.json	1077	4	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	25	53	0	0	0	0	0	0
fsh-generated/resources/Condition-MSDiagnosisExample-AML.json	1023	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	18	7	0	0	0	0	0	0
fsh-generated/resources/Condition-MSDiagnosisExample-OND.json	617	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	18	5	0	0	0	0	0	0
fsh-generated/resources/Condition-a9e56f2a-0827-4efd-a773-ed48c6e2752c.json	1057	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	21	6	0	0	0	0	0	0
fsh-generated/resources/Observation-HLA-A-Example.json	1384	4	0	0	0	0	0	0	0	1643	0	0	0	0	0	0	0	0	0	0	20	18	0	0	0	0	0	0
fsh-generated/resources/Observation-HLA-B-Example.json	1390	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	21	6	0	0	0	0	0	0
fsh-generated/resources/Observation-HLA-C-Example.json	1387	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	21	7	0	0	0	0	0	0
fsh-generated/resources/Observation-HLA-DPA1-Example.json	1402	5	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	17	5	0	0	0	0	0	0
fsh-generated/resources/Observation-HLA-DPB1-Example.json	1405	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	22	6	0	0	0	0	0	0
fsh-generated/resources/Observation-HLA-DQA1-Example.json	1405	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	19	7	0	0	0	0	0	0
fsh-generated/resources/Observation-HLA-DQB1-Example.json	1405	6	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	20	6	0	0	0	0	0	0
fsh-generated/resources/Observation-HLA-DRB1-Example.json	1405	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	21	6	0	0	0	0	0	0
fsh-generated/resources/Observation-HLA-DRB3-Example.json	1384	5	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	18	7	0	0	0	0	0	0
fsh-generated/resources/Observation-HLA-DRB4-Example.json	1384	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	20	6	0	0	0	0	0	0
fsh-generated/resources/Observation-HLA-DRB5-Example.json	1384	5	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	20	6	0	0	0	0	0	0
fsh-generated/resources/Observation-HLA-Multilocus-Genotype-Example.json	2651	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	20	6	0	0	0	0	0	0
fsh-generated/resources/Observation-MSABOObsExample.json	787	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	20	5	0	0	0	0	0	0
fsh-generated/resources/Observation-MSABORHObsExample.json	796	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	22	6	0	0	0	0	0	0
fsh-generated/resources/Observation-MSCmvExample.json	828	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	6	0	0	0	0	0	0
fsh-generated/resources/Observation-MSForm117Example.json	690	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	16	5	0	0	0	0	0	0
fsh-generated/resources/Observation-MSHeightObsExample.json	898	5	0	0	0	0	0	0	0	763	0	0	0	0	0	0	0	0	0	0	19	5	0	0	0	0	0	0
fsh-generated/resources/Observation-MSPreferredProductExample.json	731	4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	20	5	0	0	0	0	0	0
fsh-generated/resources/Observation-MSRhObsExample.json	781	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	19	6	0	0	0	0	0	0
fsh-generated/resources/Observation-MSTransplantTimelineExample.json	756	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	18	5	0	0	0	0	0	0
fsh-generated/resources/Observation-MSWeightObsExample.json	895	5	0	0	0	0	0	0	0	614	0	0	0	0	0	0	0	0	0	0	20	7	0	0	0	0	0	0
fsh-generated/resources/Organization-TCExample.json	486	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	18	7	0	0	0	0	0	0
fsh-generated/resources/Patient-3f7d88b1-3e39-4f52-bb9c-5d680b7166b3.json	2112	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	23	9	0	0	0	0	0	0
fsh-generated/resources/Patient-MSPatientBirthSex.json	1827	5	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	21	5	0	0	0	0	0	0
fsh-generated/resources/Patient-MSPatientExample.json	2162	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	19	5	0	0	0	0	0	0
fsh-generated/resources/Patient-MSPatientExample2.json	833	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	5	0	0	0	0	0	0
fsh-generated/resources/Patient-MSPatientExample3.json	835	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	4	0	0	0	0	0	0
fsh-generated/resources/Patient-MSPatientExample4.json	1262	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	6	0	0	0	0	0	0
fsh-generated/resources/Patient-MSPatientExample5.json	1211	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	22	10	0	0	0	0	0	0
fsh-generated/resources/Patient-MSPatientGenderIdentity.json	2932	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	6	0	0	0	0	0	0
fsh-generated/resources/Practitioner-26b2e265-9a7a-4e5e-b99d-bb301e8a3bfa.json	445	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	20	4	0	0	0	0	0	0
fsh-generated/resources/Practitioner-PhysicianExample.json	425	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	4	0	0	0	0	0	0
fsh-generated/resources/Practitioner-SearchCoordinatorExample.json	433	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	5	0	0	0	0	0	0
fsh-generated/resources/Practitioner-fe6acf5d-ed53-4758-8d38-10d915c984af.json	445	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	21	5	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-8fd0ef20-d146-4fff-b2a8-1d607adf9802.json	717	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	7	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-ReferringPhysicianRoleExample.json	662	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	7	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-SearchCoordinatorRoleExample.json	667	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	8	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-TCPhysicianRoleExample.json	656	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	18	6	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-ad78058a-c0fe-4ea0-bc86-d2f3770a1944.json	714	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	7	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-f1942bac-b8b3-45a1-b1d0-6928326d03ce.json	716	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	5	0	0	0	0	0	0
fsh-generated/resources/Specimen-MSSpecimenExample.json	514	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	9	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-hla-a.json	982	5	0	0	0	0	0	164	0	177	0	0	1	0	0	0	0	1	0	0	167	1888	0	2	0	10	0	1
