URL,Version,Status,OIDs,Name,Title,Description,Used
http://terminology.nmdp.org/codesystem/abogroup,0.1.2,active,,NMDPABOCS,CodeSystem - Blood Group (ABO) - NMDP,"Code System for NMDP ABO blood groups",
http://terminology.nmdp.org/codesystem/aborhgroup,0.1.2,active,,NMDPABORHCS,CodeSystem - Blood Group (ABO+RH) - NMDP,"Code System for NMDP ABO RH blood groups",
http://terminology.nmdp.org/codesystem/cmv,0.1.2,active,,NMDPCMVCS,CodeSystem - CMV Group - NMDP,"Code System for NMDP CMV",
http://terminology.nmdp.org/codesystem/disease,0.1.2,active,,NMDPDiseaseCS,CodeSystem - Disease - NMDP,"Code System for NMDP diseases",
http://terminology.nmdp.org/codesystem/diseasestage,0.1.2,active,,NMDPDiseaseStageCS,CodeSystem - Disease Stage - NMDP,"Code System for NMDP disease stages",
http://terminology.nmdp.org/codesystem/ethnicity,0.1.2,active,,NMDPEthnicityCS,CodeSystem - Patient Ethnicity - NMDP,"Code System for NMDP ethnicity",
http://terminology.nmdp.org/codesystem/form117compliance,0.1.2,active,,NMDPForm117CS,CodeSystem - Form117 Compliance- NMDP,"NMDP Form 117 for MatchSync patient",
http://terminology.nmdp.org/codesystem/genderidentity,0.1.2,active,,NMDPGenderIdentityCS,CodeSystem - Patient Gender Identity - NMDP,"Code System for NMDP diseases",
http://terminology.nmdp.org/codesystem/language,0.1.2,active,,NMDPLanguageCS,CodeSystem - Language - NMDP,"Code System for NMDP languages",
http://terminology.nmdp.org/codesystem/practitionerrole,0.1.2,active,,NMDPPractitionerRoleCS,NMDP Practitioner Roles,"NMDP Practitioner Roles",
http://terminology.nmdp.org/codesystem/preferredproduct,0.1.2,active,,NMDPPreferredProductCS,CodeSystem - Preferred Product - NMDP,"NMDP Preferred Product for MatchSync patient",
http://terminology.nmdp.org/codesystem/race,0.1.2,active,,NMDPRaceCS,CodeSystem - Patient Race - NMDP,"Code System for NMDP diseases",
http://terminology.nmdp.org/codesystem/rhstatus,0.1.2,active,,NMDPRhStatusCS,CodeSystem - Blood Group (Rh) - NMDP,"Code System for NMDP Rh Status",
http://terminology.nmdp.org/codesystem/transplanttimeline,0.1.2,active,,NMDPTransplantTimelineCS,CodeSystem - Transplant Timeline - NMDP,"Code System for NMDP transplant timeline",
http://www.genenames.org/geneId,0.1.2,active,,HLAGeneIdCS,HLA HGNC GeneID CodeSystem,"CodeSystem of HLA gene group subset of HGNC GeneId Codesystem",
http://www.glstring.org,0.1.2,active,,GLStringCS,Genotype List String Code CodeSystem,"Genotype List String Codesystem used for HLA reporting",
